Day_of_week,Age_band_of_driver,Sex_of_driver,Driving_experience,Defect_of_vehicle,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Accident_severity
0,18-30,0,1.0,No defect,0,0,0,Collision with roadside-parked vehicles,2,2,Going straight,na,na,na,na,1
0,31-50,0,4.0,No defect,0,0,0,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,1
0,18-30,0,1.0,No defect,0,0,0,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,31-50,3,2
6,18-30,0,3.0,No defect,0,1,0,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,18-30,3,1
6,18-30,0,2.0,No defect,0,1,0,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,1
4,31-50,0,-1.0,,0,0,0,Vehicle with vehicle collision,1,1,U-Turn,Driver or rider,Male,31-50,3,1
2,18-30,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,Female,18-30,3,1
4,18-30,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,U-Turn,na,na,na,na,1
4,18-30,0,4.0,No defect,0,0,0,Collision with roadside-parked vehicles,2,1,Going straight,Pedestrian,Male,Under 18,3,1
4,18-30,0,1.0,No defect,0,0,0,Collision with roadside-parked vehicles,2,1,U-Turn,Passenger,Male,18-30,3,2
5,18-30,0,1.0,No defect,0,0,0,Collision with animals,2,1,Turnover,na,na,na,na,2
5,31-50,0,5.0,No defect,0,0,0,Collision with animals,2,1,Going straight,Driver or rider,Male,18-30,3,2
3,18-30,0,1.0,No defect,0,0,0,Collision with animals,2,2,Going straight,na,na,na,na,1
3,31-50,0,3.0,No defect,0,0,0,Collision with animals,2,2,Waiting to go,na,na,na,na,1
3,31-50,0,4.0,No defect,0,0,0,Collision with animals,2,2,Going straight,Driver or rider,Female,18-30,3,2
0,18-30,1,4.0,No defect,1,1,1,Collision with animals,2,3,Going straight,na,na,na,na,2
0,18-30,0,3.0,No defect,1,1,1,Collision with animals,2,3,Going straight,na,na,na,na,1
0,18-30,0,2.0,No defect,1,1,1,Collision with animals,2,3,Going straight,na,na,na,na,2
0,18-30,0,2.0,No defect,1,1,1,Collision with animals,2,3,Moving Backward,na,na,na,na,1
1,18-30,0,0.0,No defect,0,0,0,Collision with animals,2,1,Going straight,Driver or rider,Male,Under 18,3,2
1,Under 18,0,2.0,No defect,0,0,0,Collision with animals,2,1,Going straight,na,na,na,na,1
3,18-30,0,2.0,No defect,0,0,0,Collision with animals,1,1,Moving Backward,Driver or rider,Male,18-30,3,2
3,18-30,0,3.0,No defect,0,0,0,Other,2,1,Getting off,Passenger,Female,31-50,3,2
3,31-50,0,4.0,,0,0,0,Rollover,2,1,Reversing,Passenger,Male,18-30,3,2
2,18-30,0,-1.0,,0,0,0,Collision with animals,2,3,Turnover,na,na,na,na,1
2,18-30,0,2.0,No defect,0,0,0,Rollover,2,3,Going straight,Driver or rider,Female,31-50,3,1
2,18-30,2,3.0,No defect,0,0,0,Collision with animals,2,3,Going straight,Pedestrian,Male,Under 18,3,1
4,18-30,0,2.0,No defect,0,0,0,Collision with animals,1,1,Going straight,na,na,na,na,1
1,Over 51,2,-1.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,1
1,18-30,0,1.0,No defect,0,0,0,Fall from vehicles,2,1,Going straight,Driver or rider,Male,18-30,2,1
0,18-30,0,2.0,No defect,0,0,0,Collision with roadside-parked vehicles,1,1,Going straight,na,na,na,na,1
3,18-30,0,4.0,No defect,0,0,0,Collision with roadside-parked vehicles,1,1,Moving Backward,Driver or rider,Male,18-30,3,1
3,18-30,0,0.0,No defect,0,0,0,Rollover,2,1,Reversing,Passenger,Female,18-30,3,1
3,31-50,2,2.0,No defect,0,0,0,Collision with animals,2,1,Turnover,na,na,na,na,1
5,Over 51,0,0.0,No defect,0,0,0,Collision with animals,2,1,Going straight,Driver or rider,Female,18-30,3,1
5,18-30,0,3.0,No defect,0,0,0,Fall from vehicles,2,1,Going straight,Pedestrian,Male,Under 18,3,1
4,18-30,0,1.0,No defect,0,1,0,Collision with roadside-parked vehicles,2,2,Going straight,na,na,na,na,1
4,Over 51,0,0.0,No defect,0,1,0,Collision with animals,2,2,Going straight,Driver or rider,Female,18-30,2,1
4,Over 51,0,-1.0,,0,1,0,Collision with animals,2,2,Going straight,na,na,na,na,1
6,Over 51,0,0.0,7,0,0,0,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,18-30,3,1
6,31-50,0,0.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
6,31-50,0,-1.0,5,0,1,0,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Female,31-50,3,1
6,18-30,0,2.0,No defect,0,1,0,Collision with pedestrians,2,2,Going straight,Driver or rider,Male,18-30,3,1
2,18-30,0,4.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,3,1
2,18-30,0,4.0,No defect,0,0,0,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Under 18,3,1
4,31-50,0,3.0,,0,0,0,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,2
4,31-50,0,1.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
4,31-50,0,0.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,1
0,18-30,0,0.0,,0,0,0,Rollover,2,1,Going straight,na,na,na,na,1
0,18-30,0,2.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,2,1
1,18-30,0,1.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Over 51,3,1
1,31-50,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
5,Over 51,0,2.0,No defect,0,0,0,Collision with pedestrians,2,3,Going straight,Driver or rider,Male,31-50,3,1
5,31-50,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,31-50,3,1
5,31-50,0,4.0,,0,0,0,Collision with roadside objects,2,3,Going straight,na,na,na,na,1
5,18-30,2,3.0,,0,0,0,Vehicle with vehicle collision,2,3,Going straight,Passenger,Female,18-30,3,1
3,18-30,0,3.0,,0,0,0,Rollover,2,1,Going straight,Driver or rider,Male,31-50,3,1
3,31-50,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
1,18-30,2,4.0,No defect,1,0,1,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
1,Over 51,0,1.0,No defect,1,0,1,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,1
4,18-30,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
4,31-50,0,1.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
6,31-50,0,-1.0,No defect,0,0,0,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Under 18,3,1
6,31-50,0,3.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
0,Unknown,1,3.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Over 51,3,1
0,31-50,0,4.0,No defect,0,0,0,Collision with roadside objects,2,1,Going straight,Passenger,Female,31-50,3,1
3,31-50,2,2.0,No defect,0,0,0,Collision with roadside objects,2,1,Going straight,Passenger,Female,31-50,3,1
3,18-30,0,4.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Unknown,Driver or rider,Male,18-30,3,1
2,18-30,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
2,31-50,0,3.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,1
0,18-30,0,3.0,,0,1,0,Vehicle with vehicle collision,2,1,Reversing,Passenger,Male,18-30,3,1
