Day_of_week,Age_band_of_driver,Sex_of_driver,Driving_experience,Defect_of_vehicle,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Accident_severity
Monday,18-30,Male,1-2yr,No defect,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,2,Going straight,na,na,na,na,Slight Injury
Monday,31-50,Male,Above 10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Slight Injury
Monday,18-30,Male,1-2yr,No defect,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,31-50,3,Serious Injury
Sunday,18-30,Male,5-10yr,No defect,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,18-30,3,Slight Injury
Sunday,18-30,Male,2-5yr,No defect,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Slight Injury
Friday,31-50,Male,,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,U-Turn,Driver or rider,Male,31-50,3,Slight Injury
Wednesday,18-30,Male,2-5yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,Female,18-30,3,Slight Injury
Friday,18-30,Male,2-5yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,U-Turn,na,na,na,na,Slight Injury
Friday,18-30,Male,Above 10yr,No defect,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Going straight,Pedestrian,Male,Under 18,3,Slight Injury
Friday,18-30,Male,1-2yr,No defect,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,U-Turn,Passenger,Male,18-30,3,Serious Injury
Saturday,18-30,Male,1-2yr,No defect,Dry,Daylight,Normal,Collision with animals,2,1,Turnover,na,na,na,na,Serious Injury
Saturday,31-50,Male,No Licence,No defect,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,Male,18-30,3,Serious Injury
Thursday,18-30,Male,1-2yr,No defect,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,na,na,na,na,Slight Injury
Thursday,31-50,Male,5-10yr,No defect,Dry,Daylight,Normal,Collision with animals,2,2,Waiting to go,na,na,na,na,Slight Injury
Thursday,31-50,Male,Above 10yr,No defect,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,Driver or rider,Female,18-30,3,Serious Injury
Monday,18-30,Female,Above 10yr,No defect,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,na,na,na,na,Serious Injury
Monday,18-30,Male,5-10yr,No defect,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,na,na,na,na,Slight Injury
Monday,18-30,Male,2-5yr,No defect,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,na,na,na,na,Serious Injury
Monday,18-30,Male,2-5yr,No defect,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Moving Backward,na,na,na,na,Slight Injury
Tuesday,18-30,Male,Below 1yr,No defect,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,Male,Under 18,3,Serious Injury
Tuesday,Under 18,Male,2-5yr,No defect,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,na,na,na,na,Slight Injury
